Country_exporting_to_India,Quantity_2011_12,Principal_Commodity
SAUDI ARAB,33571839,"PETROLEUM, CRUDE & PRODUCTS"
IRAQ,23778037,"PETROLEUM, CRUDE & PRODUCTS"
KUWAIT,19599691,"PETROLEUM, CRUDE & PRODUCTS"
QATAR,18080814,"PETROLEUM, CRUDE & PRODUCTS"
U ARAB EMTS,17168628,"PETROLEUM, CRUDE & PRODUCTS"
NIGERIA,16743270,"PETROLEUM, CRUDE & PRODUCTS"
IRAN,14796228,"PETROLEUM, CRUDE & PRODUCTS"
VENEZUELA,9466282,"PETROLEUM, CRUDE & PRODUCTS"
ANGOLA,7976415,"PETROLEUM, CRUDE & PRODUCTS"
BRAZIL,3801674,"PETROLEUM, CRUDE & PRODUCTS"
EGYPT A RP,3561201,"PETROLEUM, CRUDE & PRODUCTS"
MALAYSIA,2593848,"PETROLEUM, CRUDE & PRODUCTS"
OMAN,2589749,"PETROLEUM, CRUDE & PRODUCTS"
SINGAPORE,2386472,"PETROLEUM, CRUDE & PRODUCTS"
ALGERIA,2373567,"PETROLEUM, CRUDE & PRODUCTS"
MEXICO,2364568,"PETROLEUM, CRUDE & PRODUCTS"
U S A,1462048,"PETROLEUM, CRUDE & PRODUCTS"
CHINA P RP,1407016,"PETROLEUM, CRUDE & PRODUCTS"
YEMEN REPUBLC,1232233,"PETROLEUM, CRUDE & PRODUCTS"
AZERBAIJAN,1008478,"PETROLEUM, CRUDE & PRODUCTS"
BRUNEI,863676,"PETROLEUM, CRUDE & PRODUCTS"
KOREA RP,846658,"PETROLEUM, CRUDE & PRODUCTS"
COLOMBIA,746717,"PETROLEUM, CRUDE & PRODUCTS"
AUSTRALIA,695973,"PETROLEUM, CRUDE & PRODUCTS"
BAHARAIN IS,605941,"PETROLEUM, CRUDE & PRODUCTS"
CAMEROON,580387,"PETROLEUM, CRUDE & PRODUCTS"
SUDAN,522288,"PETROLEUM, CRUDE & PRODUCTS"
TAIWAN,379292,"PETROLEUM, CRUDE & PRODUCTS"
TRINIDAD,319526,"PETROLEUM, CRUDE & PRODUCTS"
CONGO P REP,316389,"PETROLEUM, CRUDE & PRODUCTS"
INDONESIA,261114,"PETROLEUM, CRUDE & PRODUCTS"
JAPAN,258305,"PETROLEUM, CRUDE & PRODUCTS"
NETHERLAND,242308,"PETROLEUM, CRUDE & PRODUCTS"
EQUTL GUINEA,232542,"PETROLEUM, CRUDE & PRODUCTS"
PANAMA REPUBLIC,202123,"PETROLEUM, CRUDE & PRODUCTS"
COTE D' IVOIRE,196940,"PETROLEUM, CRUDE & PRODUCTS"
SYRIA,166681,"PETROLEUM, CRUDE & PRODUCTS"
UNSPECIFIED,156937,"PETROLEUM, CRUDE & PRODUCTS"
GUINEA,144805,"PETROLEUM, CRUDE & PRODUCTS"
FR GUIANA,130317,"PETROLEUM, CRUDE & PRODUCTS"
SWEDEN,120512,"PETROLEUM, CRUDE & PRODUCTS"
U K,119689,"PETROLEUM, CRUDE & PRODUCTS"
SPAIN,118169,"PETROLEUM, CRUDE & PRODUCTS"
ALBANIA,115382,"PETROLEUM, CRUDE & PRODUCTS"
PANAMA C Z,103743,"PETROLEUM, CRUDE & PRODUCTS"
BELGIUM,100086,"PETROLEUM, CRUDE & PRODUCTS"
GABON,89802,"PETROLEUM, CRUDE & PRODUCTS"
ISRAEL,84686,"PETROLEUM, CRUDE & PRODUCTS"
THAILAND,83266,"PETROLEUM, CRUDE & PRODUCTS"
GUINEA BISSAU,53794,"PETROLEUM, CRUDE & PRODUCTS"
HONG KONG,45062,"PETROLEUM, CRUDE & PRODUCTS"
LIBYA,45032,"PETROLEUM, CRUDE & PRODUCTS"
SRI LANKA DSR,44500,"PETROLEUM, CRUDE & PRODUCTS"
TUNISIA,34901,"PETROLEUM, CRUDE & PRODUCTS"
PAKISTAN IR,25997,"PETROLEUM, CRUDE & PRODUCTS"
GERMANY,24921,"PETROLEUM, CRUDE & PRODUCTS"
SOUTH AFRICA,22643,"PETROLEUM, CRUDE & PRODUCTS"
FRANCE,19696,"PETROLEUM, CRUDE & PRODUCTS"
BANGLADESH PR,18587,"PETROLEUM, CRUDE & PRODUCTS"
GREECE,15000,"PETROLEUM, CRUDE & PRODUCTS"
MALDIVES,13474,"PETROLEUM, CRUDE & PRODUCTS"
MAURITIUS,11988,"PETROLEUM, CRUDE & PRODUCTS"
MYANMAR,10199,"PETROLEUM, CRUDE & PRODUCTS"
