"FERTILIZERS,CRUDE","174017.1071","1496728532.8393","145340.3929","1309779624.8214"
"FRUITS & NUTS EXCL CASHEW NUTS","0.0000","435362151.9907","0.0000","558130504.2523"
"GOLD","0.0000","46534604379.3103","0.0000","50370455313.3103"
"HANDLOOM PRODUCTS","0.0000","10100390.6857","0.0000","21024159.0286"
"INORGANIC CHEMICALS","0.0000","1951047172.6444","0.0000","1935376031.2370"
"IRON & STEEL","64772.8108","3552620519.6622","64298.2027","3599641348.3041"
"JUTE, RAW","181263.0000","4491698306.0000","148734.0000","3707908813.0000"
"LEATHER","0.0000","169117012.8110","0.0000","183644750.1260"
"M-MADE F'MNT/SPUN YRN(INC.WAS)","0.0000","417212582.5603","0.0000","493538280.0603"
"MACHINE TOOLS","0.0000","1118038638.5313","0.0000","1173832791.5938"
"MACHRY EXCPT ELEC & ELECTRONIC","0.0000","7515613167.4167","0.0000","7833534093.0000"
"MADEUP TEXTILE ARTICL","0.0000","160666305.0490","0.0000","185735458.8824"
"MANUFACTURES OF METALS","0.0000","1245280334.1524","0.0000","1422749282.7500"
"MEDICINAL & PHRMACUTICL PRODTS","0.0000","1125012859.2362","0.0000","1335833990.1732"
