"CEREAL PREPARATION","UNSPECIFIED"
"PULSES","UNSPECIFIED"
"TEA","UNSPECIFIED"
"WOOLEN YARN & FABRICS","UNSPECIFIED"
"COTTON YARN & FABRICS","UNSPECIFIED"
"M-MADE F'MNT/SPUN YRN(INC.WAS)","UNSPECIFIED"
"MILK AND CREAM","UNSPECIFIED"
"MADEUP TEXTILE ARTICL","UNSPECIFIED"
"RAW CASHEW NUTS","UNSPECIFIED"
"FRUITS & NUTS EXCL CASHEW NUTS","UNSPECIFIED"
"SPICES","UNSPECIFIED"
"OTHR TXTL YRN,FABS,MADEUP ARTL","UNSPECIFIED"
"READYMADE G'MENTS(WOVN & KNIT)","UNSPECIFIED"
"OIL SEEDS","UNSPECIFIED"
"VEGETABLE OILS FIXED (EDIBLE)","UNSPECIFIED"
"NATURAL RUBBER","UNSPECIFIED"
"SYNTHC & RECLMD RUBBER","UNSPECIFIED"
"PULP AND WASTE PAPER","UNSPECIFIED"
"WOOD AND WOOD PRODUCTS","UNSPECIFIED"
"WOOL, RAW","UNSPECIFIED"
"SYNTHETIC & REGENERATED FIBRES","UNSPECIFIED"
"SILK YARN & FABRICS","UNSPECIFIED"
"LEATHER","UNSPECIFIED"
"FERTILIZERS,CRUDE","UNSPECIFIED"
"COTTON RAW:COMB./UNCOMB./WASTE","UNSPECIFIED"
"OTHER CRUDE MINERALS","UNSPECIFIED"
"CASHEW SHELLED","UNSPECIFIED"
"METALIFERS ORES & METAL SCRAP","UNSPECIFIED"
"COAL,COKE & BRIQUITTES ETC.","UNSPECIFIED"
"PETROLEUM, CRUDE & PRODUCTS","UNSPECIFIED"
"ESSENTIAL OIL & COSMETIC PREPN","UNSPECIFIED"
"ORGANIC CHEMICALS","UNSPECIFIED"
"INORGANIC CHEMICALS","UNSPECIFIED"
"DYENG,TANNG,COLRNG MATRLS","UNSPECIFIED"
"MEDICINAL & PHRMACUTICL PRODTS","UNSPECIFIED"
"FERTILEZERS MANUFACTURED","UNSPECIFIED"
"ARTFCL RESNS,PLSTC MATRLS,ETC.","UNSPECIFIED"
"CHEMICAL MATRL & PRODCTS","UNSPECIFIED"
"NEWSPRINT","UNSPECIFIED"
"PAPER BOARD & MANUFACTURES","UNSPECIFIED"
"PRNTD BOOKS,NWSPAPRS,JRNLS ETC","UNSPECIFIED"
"CEMENT","UNSPECIFIED"
"PERLS PRCUS SEMIPRCS STONES","UNSPECIFIED"
"NON-METLC MNRL MNFS EXCL PERLS","UNSPECIFIED"
"PRIMRY STEL,PIG IRON BASD ITMS","UNSPECIFIED"
"IRON & STEEL","UNSPECIFIED"
"NON-FERROUS METALS","UNSPECIFIED"
"GOLD","UNSPECIFIED"
"SILVER","UNSPECIFIED"
"MANUFACTURES OF METALS","UNSPECIFIED"
"MACHINE TOOLS","UNSPECIFIED"
"MACHRY EXCPT ELEC & ELECTRONIC","UNSPECIFIED"
"ELEC MACHRY EXCPT ELECTRONIC","UNSPECIFIED"
"ELECTRONIC GOODS","UNSPECIFIED"
"COMP.SOFTWARE IN PHYSICAL FORM","UNSPECIFIED"
"TRANSPORT EQUIPMENTS","UNSPECIFIED"
"PROJECT GOODS","UNSPECIFIED"
"PROFSNL INST,ETC EXCPT ELCTRNC","UNSPECIFIED"
"HANDLOOM PRODUCTS","UNSPECIFIED"
